,English,Bemba,Bemba2
560,Churn milk,Suka mukaka,
561,Cinema,"""Shinema""",
562,Circle,Cintengulusha,
563,Circumstances,Apo cabe fi,
564,Cite,Lubulwisha,
565,Citizen,Umukaya,
566,Citizenship,Ubukaya,
567,City,Umusumba,
568,Civet cat,Mfungo,
569,Civil,Bukaya,
570,Clan,Umukôwa,
571,Clap (hands),Ombe ndupi,
572,Clash,Ulubuli,
573,Claw (noun),Ulwala,
574,Claw (verb),Fôla,
575,Clay,Ibumba,Iloba
576,Clean (be),Bûta,
577,Clean (make),Wamya,Pukuta
578,Clear (ground),Seba,Kungula
579,Clear (be),Bûta,
580,Clear (of water),Lengama,
581,Clear (explain),Londolola,
582,Clear (the table),Teule fipe,
583,Clearly,Bwino bwino,
584,Clerk,Kalaliki,
585,Clever,Ba na mano,Cenjela
586,Cleverness,Amâno,
587,Climate,(icalo),
588,Cling to,Konena,Shangila
589,Cloak,Isâba,
590,Clock,Inkololo,
591,Close (shut),Isala,
592,Close (near) adv.,Pêpi,
593,Clot,Tikama,
594,Cloth,Insalu,
595,Clothe,Fwika,Fwâla
596,Cloud,Ikumbi,Ntumba
597,Cloudy,Kutika,Bundama
598,Club,Mulanga,
599,Coal,Malasha,
600,Coast,Lulamba,
601,Coat (of animal),Masako,
602,Cobra (common),Ngoshe,
603,Cobra (forest),Mamba,
604,Cobra (water),Mambalushi,
605,Cobra (spitting),Kafi,
606,Cobweb,Tandabube,
607,Cock,Mukolwe,
608,Cockroach,Lupemfu,
609,Coco nut,Ngashi,
610,Coddle,Tekelesha,Tentemba
611,Coerce,Patikisha,
612,Coffee,"""Kofi""",
613,Coil,Nyongâna,
614,Coin,Ikopala,
615,Cold,Impepo,
616,Cold (common),Icifine,
617,Colic,Mupindo,
618,Collapse (person),Wa panshi,
619,Collapse (building),Bongoloka,
620,Collar,Inteneshi,
621,Collect (money),Sanshishe ndalama,
622,Colour,Balâla,
623,Column,Luceshi,
624,Comb,Icisakulo,
625,Come,Isa,
626,Come back,Bwela,
627,Come between,Cinga,
628,Come from,Konka,Tula
629,Come near,Palama,
630,Come on!,Alêni!,
631,Come out,Fuma,
632,Come with,Konka,
633,Comfort,Talaliko mutima,
634,Command,Cebo,
635,Commemorate,Ibukisha,
636,Commence,Tampa,
637,Common,...onse,
638,Commoner,Mupabi,Muntunse
639,Compare,Palanya,Linganya
640,Compassion,Cilela,Languluka
641,Compel,Patika,
642,Compensate,Futa mukulinganya,
643,Compensation,Mafuto,
644,Compete,Cimfyanya,
645,Complain,Ilishanya,Isosha
646,Complete,Tuntula,
647,Complete (finish),Pwisha,
648,Completely,Onse,
649,Compliment,Tasha,
650,Compose,Panga,
651,Compound,"""Kompaundi""",
652,Compost,Umufundo,
653,Conceal,Fisa,Belamika
654,Conceive (pregancy),Imita,
655,Concern,Umulandu,
656,Concubine,Mwinga,
657,Concupiscence,Ulunkumbwa,
658,Condition,Cifwaikwa,Cikulu
659,Conduct,Ensha,
660,Confess,Lumbula,
661,Confession,Icilumbulo,
662,Confidence,Isubilo,
663,Confident,Sûbila,
664,Confidential,Mu nkâma,
665,Comfirm,Suminisha,
666,Comfirmation,Inkosho,
667,Confluence,Mawilo,
668,Confuse,Fulunganya,
669,Confusion,Icimfulunganya,Icimfundawila
670,Congeal,Tikama,
671,Congratulate,Tasha,
672,Congratulations,Ubutasho,
673,Congregation,Cibungwe,
674,Connect,Kumbinkanya,
675,Conquer,Cimfya,
676,Conscience,Umutima,
677,Consent,Sumina,
678,Consequently,Kanshi,e ico
679,Consider,Tontonkanya,
680,Console (pacify),Talaliko mutima,
681,Constable,Kapokola,
682,Constipated,Ifumo lyauma,
683,Construct,Kûla,Panga
684,Consult,Ipusha,
685,Consume,Lya,
686,Consumption (disease),Ntanda bwanga,
687,Contagious,Lwambu,
688,Contain,ba mo,
689,Contaminate,Ambukila,
690,Contempt,Musalûla,
691,Content (happy),Temwa,
692,Contents,Ifyabamo,
693,Continue,Twalilila,Konkanya
694,Contract,Icipangano,
695,Contradict,Bikapo ifikansa,
696,Contribute,Sangula,Pêla
697,Control,Têka,
698,Convenient,Linga,
699,Conversation,Ilyashi,
700,Convert,Sangula,Alula
701,Convict (do),Shinina,
702,Cook,Ipika,
703,Cooked (ready),Pya,
704,Cool,Talala,
705,Copper,Mukuba,
706,Copy,Cikope,Ambula
707,Cord,Umwando,
708,Cork,Inciliko,
709,Cork screw,Ncililwo,
710,Cormoran (water bird),Nondo,
711,Corner,Itungi,
712,Corpse,Citumbi,
713,Correct,Wamya,
714,Cost,Mutengo,
715,Cotton,Tonge,
716,Cough,Cifuba,
717,Council,Cilye,
718,Councillor,Wa mu cilye,Shicilye
719,Count,Penda,
720,Countless,Te fya kupenda,
721,Country,Impânga,
722,Courage,Kushipa,
723,Court,Cilye,
724,Courtyard,Lubansa,
725,Cousin,Mufyala,
726,Cover,Kupa,Nkupo
727,Cover (do),Kupika,Fimba
728,Covet,Kumbwa,
729,Cow,ɧombe,
730,Coward,Kûwe,
731,Cowshed,Itanga,Icinka
732,Crab,ɧanse,
733,Crack (in wall),Mulale,
734,Crack (in skin of heel),Linɧa,
735,Craft,Bufundi,
736,Craftsman,Fundi,
737,Cramp,Ntontongolo,
738,Crane (crested),Ngôli,
739,Crane (other),Ikolongo,
740,Crash,Toba,
741,Craving,Bukasha,
742,Crawl,Amfula,
743,Craziness,Bushilu,
744,Crazy,Pena,
745,Create,Bumba,
746,Creator,Kabumba,
747,Creature,Cibumbwa,
748,Creed,Cisuminino,
749,Creep (crawl),Amfula,
750,Creep (hunter),Bendela,
751,Cricket,Nyense,
752,Criminal,Cipondo,
753,Cripple,Cilema,
754,Crippled,Lemana,
755,Crocodile,Nɧwena,
756,Crooked,Kongama,
757,Crop,Fisabo,
758,Crop rotation,Alule mbuto,
759,Cross,Musalaba,
760,Cross (water),Abuka,
761,Cross (be),Fulwa,Fitwa
762,Crossing place,Câbu,
763,Crosswise,Pindika,
764,Crow,Mwankole,
765,Crowd,Ibumba,
766,Crown,Cisote ca mfumu,
767,Crucifix,Musalaba,
768,Crucify,Tanika,
769,Cruel,Luma,
770,Cruelty,Bunkalwe,
771,Crumble,Bongolola,Mokola
772,Crush,Shina,Shona
773,Cry,Lila,
774,Cucumber,Cibimbi,
775,Cultivate,Lima,
776,Cup,Nkomaki,
777,Cupboard,"""Kabati""",
778,Cure,Posha,Undapa
779,Curl,Lupôto,
780,Curl up,Nyongânya,
781,Current,Mukuku,
782,Curse,Ntipu,Tîpa
783,Curtail,Cefya,
784,Curve,Cinshoko,Kongamika
785,Cushion,Musao,
786,Cut,Mulaba,
787,Cut (oneself),Icena,
788,Cut (hair),Beya umushishi,
789,Cut off,Putula,
790,Cut open,Tumbula,
791,Cut tree,Tema,
792,Cut meat,Tanta,
793,D,,
794,Daily,Cila bushiku,Nshiku shonse
795,Damage,Onaula,
796,Damaged,Onauka,
797,Damp,Bomba,Mutonshi
798,Dampness,Mutonshi,
799,Dance,Cila,Cinda
800,Dandruff,Nkuku,
801,Danger,Busanso,
802,Dare,Esha,Pama
803,Dark,Fita,
804,Darkness,Mfifi,
805,Date,Bushiku,
806,Daughter,Mwana mwanakashi,
807,Daughter in law,Mupongoshi,
808,Dawn,Ca,Macâca
809,Day,Bushiku,
810,Daybreak,Macâca,
811,Daylight,Kasuba,
812,Dead,Fwa,
813,Deaf,Koma matwi,
814,Deafen,Komya matwi,
815,Deal,Pêla,
816,Dear,Mutemwishi,Mutemwikwa
817,Dear (expensive),Koso mutengo,
818,Death,Mfwa,
819,Debate,Tâlika,
820,Debt,Nkongole,Misha
821,Decay,Bola,
822,Decease,Fwa,
823,Deceit,Bucenjeshi,
824,Deceitful,Ba ne ndimi shibili,
825,December,Mupundu-milimo,
826,Decide,Pingula,
827,Decision,Ubupingulo,
828,Declare,Sosa,
829,Decorate,Sâmika,
830,Decoration,Cisâmo,
831,Deep,Tali,Shika
832,Defame,Sebanya,
833,Defeat,Cimfya,Ansha
834,Defend,Pokolola,Pokako
835,Defender,Mpâlume,
836,Defer,Kokosha,Tantalisha
837,Delay,Chelesha,Linsha
838,Delete,Fûta,
839,Deliberately,Kumufûlo,
840,Delight,Nsansa,
841,Delirious,Sabaila,
842,Deliver,Pususha,Lubula
843,Deliver (to),Twala,
844,Demand,Fwaya,Lomba
845,Demolish,Onaula,
846,Demolished,Onaika,
847,Demon,Cibanda,Ciwa
848,Donounce,Sebanya,
849,Deny,Kâna,
850,Depart,Ya,
851,Depend,Ba kuli,
852,Depth,Butali panshi,Kushika
853,Descend,Ika,
854,Describe,Londolola,
855,Desert,Ciswebêbe,
856,Deserter,Musangu,
857,Deserve,Fwa,
858,Design,Lenga,
859,Designer,Kalenga,
860,Desire,Fwaya,Kumbwa
861,Despite,Nangu,Nelyo
862,Destroy,Onaula,Toba
863,Destruction,Bonaushi,
864,Datach,Kakatula,
865,Detest,Pata,
866,Detour,Cinshoko,Shosha
867,Develop,Kula,
868,Development,Buyantanshi,
869,Deviate,Petula,Petuka
870,Devour,Lya,Mina
871,Dew,Mume,
872,Diarrhoea,Polomya,Lwala pamala
873,Die,Fwa,
874,Differ,Ibela,Lekana
875,Difference,Bupusano,
876,Different,Pusana,Lekana
877,Differentiate,Pusanya,Lekanya
878,Difficult,Afya,
879,Difficulty,Bwafya,
880,Dig,Imba,
881,Dig (up),Shula,
882,Digest,Sungulula,
883,Digit,Ipendo,
884,Dignity,Bucindami,Mucinshi
885,Dilute,Sundula,Songolola
886,Diminish,Cefya,
887,Dine,Lya,
888,Dining Room,ɧanda ya kulilamo,
889,Dip,Tumpa,Tumpika
890,Direct (show),Langa,Tungulula
891,Direct (straight),Lungama,
892,Direction,Ntunga,Lubali
893,Dirt,Ciko,Busâli
894,Dirty,Ba ne fiko,Sapa
895,Disadvantage,Bipile,
896,Disagree,Pusana,
897,Disappear,Loba,Ongoloka
898,Disapprove,Kâna,
899,Disarrange,Salanganya,Fulunganya
900,Discontent,Cifukushi,
901,Discourage,Nenuna,Fûpula
902,Discover,Sanga,Sokola
903,Discretion,Mfundato,
904,Disdain,Fwita,Sûla
905,Disease,Bulwele,Ntandabwanga
906,Disgrace,Sebânya,
907,Disguise,Fisa,
908,Disgust,Citendwe,Tendusha
909,Dish,Mbale yafongomana,
910,Dishearten,Fûpula,
911,Disinter,Shukula,
912,Dislike,Pata,
913,Dislocate,Minya,
914,Dismantle,Pangulula,Pangaula
915,Dismiss,Tamfya,
916,Disorder,Cimfulunganya,Fulungana
917,Dispatch,Tuma,
918,Dispensary,Cipatala,
919,Disperse,Salanganya,
920,Dispersion,Isunga,
921,Displeased,Fulwa,Fitwa
922,Dispute,Fikansa,Kansana
923,Disregard,Musâlula,Sûla
924,Disrespectful,Ba nemisûla,
925,Dissention,Cimpatanya,
926,Dissolve,Sungulula,
927,Dissuade,Kânya,
928,Distance,Kulêpa,Talusha
929,Distinguish,Lekanya,Pusanya
930,Distinguished,Lumbuka,
931,Distract,Pusaula,Pusauka
932,District,Mpanga,Câlo
933,Ditch,Mufôlo,
934,Dive,Ibila,
935,Divide,Akanya,
936,Divination,Lubuko,
937,Divine,Takatifu,
938,Divine (the future),Buka,
939,Divinity,Bumulungu,
940,Divorce,Lekana mucûpo,Putule cûpo
941,Divulge,Ananya,Sokolola
942,Dizziness,Lunshingwa,
943,Do,Cita,
944,Docile,Nakilila,Petama
945,Docility,Bupete,Cumfwilo
946,Doctor,Shinɧanga,
947,Dog,Mbwa,
948,Doll,Kalubi,
